cell_id,suite,hardware,world_size,runtime_profile,case_kind,collective,overlap,mode,tokens,num_experts,routing_variant,routed_experts_per_token,shared_experts_per_token,network_copies_per_token,routing_profile,capacity_factor,hidden_size,intermediate_size,executed_replicates,successful_sample_replicates,statuses,replicate_count,replicate_medians_ms,replicate_min_ms,replicate_max_ms,median_of_replicate_medians_ms,hierarchical_bootstrap_samples,hierarchical_ci95_low_ms,hierarchical_ci95_high_ms,independence_unit,median_ms,tokens_per_second,useful_tflops,peak_efficiency_pct,effective_bandwidth_gbps,gpu_ms_per_token,algorithmic_flops,phase_share_pct,scaling_efficiency_pct,sequence_length,window,batch_size,dtype,num_heads,head_dim,model_width,block_size,message_bytes_per_rank,compile_time_ms,first_call_ms,peak_allocated_bytes,peak_reserved_bytes,p05_ms,p95_ms,cv_pct,tail_inflation,latency_per_batch_token_ms,attention_type,attention_density,scaling_group_id,throughput_relative_to_world2,strong_scaling_efficiency_pct,scaling_group_label
97a097861a9be2df3dfe,distributed_moe,A100-40GB,2,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[6.280191898345947, 7.5419840812683105]",6.280191898345947,7.5419840812683105,6.911087989807129,4000.0,6.254702800512314,7.57482385635376,fresh Modal container replicate,6.911087989807129,2390605.068176561,3910.500515950556,626.6827749920764,211.22161183441028,0.0008436386706307,26800595927040.0,"{""combine"": 49.80462033156657, ""dispatch"": 13.953380479238842, ""expert_compute"": 16.305054034492812, ""pack"": 4.242453657488953, ""return"": 15.694491497212827}",100.0,,,,,,,,,,0.0,12.070018499798607,833039872.0,1167065088.0,6.8107376337051395,7.157985532283782,1.8766884383476503,1.0357248443140634,,global,1.0,G1,1.0,100.0,"G1: A100-40GB, 8192 tok, 1024 experts, top8"
9775a5e8bf34812e9dd0,distributed_moe,A100-40GB,4,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[7.240560054779053, 6.972496032714844]",6.972496032714844,7.240560054779053,7.106528043746948,4000.0,6.962535977363586,7.271329173445701,fresh Modal container replicate,7.106528043746948,4612612.51815782,7545.212662790173,604.5843479799819,170.20563813780137,0.0008674960990902,53601191854080.0,"{""combine"": 43.64222121701083, ""dispatch"": 16.254569845511053, ""expert_compute"": 18.137319651549895, ""pack"": 4.290664251347815, ""return"": 17.67522503458041}",96.4737459055941,,,,,,,,,,0.0,53.04018899960283,833274112.0,945815552.0,7.044094347953797,7.224831163883209,0.9101981639520017,1.0166471052260684,,global,1.0,G1,1.929474918111882,96.4737459055941,"G1: A100-40GB, 8192 tok, 1024 experts, top8"
43c4d0374debf3ff6ef1,distributed_moe,A100-40GB,8,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,1,1,"[""succeeded""]",1.0,[6.593199968338013],6.593199968338013,6.593199968338013,6.593199968338013,4000.0,6.552688121795654,6.660912036895752,fresh Modal container replicate,6.593199968338013,9939938.165794788,16259.53773933284,651.4237876335272,167.91118191987073,0.00080483398051,107202383708160.0,"{""combine"": 45.65412035486373, ""dispatch"": 17.702904121093376, ""expert_compute"": 14.375712774432444, ""pack"": 3.736070718377996, ""return"": 18.531192031232457}",103.94793245143264,,,,,,,,,,0.0,49.71816500000159,833375232.0,968884224.0,6.525760126113893,6.686233615875244,0.8765530065557061,1.014110545407996,,global,1.0,G1,4.157917298057305,103.94793245143264,"G1: A100-40GB, 8192 tok, 1024 experts, top8"
e7feebd09b9f3be91b1d,distributed_moe,A100-40GB,2,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[30.2815523147583, 30.360112190246582]",30.2815523147583,30.360112190246586,30.32083225250244,4000.0,30.26037462949753,30.44960021972656,fresh Modal container replicate,30.32083225250244,1080710.9356513305,9139.885495021266,1464.7252395867413,271.21348436937177,0.0018506367341615,277128469807104.0,"{""combine"": 58.9108724108661, ""dispatch"": 12.716257909653295, ""expert_compute"": 10.195767156373442, ""pack"": 4.3749009121782025, ""return"": 13.802201610928961}",100.0,,,,,,,,,,0.0,59.71759750491401,4083854592.0,4513071104.0,30.21691861152649,30.55202474594116,0.4194462477401613,1.0076248729425834,,global,1.0,G2,1.0,100.0,"G2: A100-40GB, 16384 tok, 64 experts, top7_plus_1_shared"
2fcf513ab1e1e0d88c78,distributed_moe,A100-40GB,4,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[29.337279319763184, 29.13092803955078]",29.13092803955078,29.337279319763184,29.234103679656982,4000.0,29.103800296783447,29.467552185058597,fresh Modal container replicate,29.234103679656982,2241793.250702808,18959.495031468585,1519.1903070087003,234.41810973908,0.0017843080859165,554256939614208.0,"{""combine"": 56.38470651268862, ""dispatch"": 14.299169996436937, ""expert_compute"": 8.599422332080284, ""pack"": 3.8680418094214497, ""return"": 16.848659349372706}",103.71844943679172,,,,,,,,,,0.0,35.08335350039715,4143203840.0,4992270336.0,29.048402786254883,29.760018491744997,0.9152517438875034,1.0179897703672023,,global,1.0,G2,2.0743689887358348,103.71844943679174,"G2: A100-40GB, 16384 tok, 64 experts, top7_plus_1_shared"
e7bac40d9b8114635edd,distributed_moe,A100-40GB,8,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,1,1,"[""succeeded""]",1.0,[33.7076473236084],33.7076473236084,33.7076473236084,33.7076473236084,4000.0,33.63585662841797,33.795711517333984,fresh Modal container replicate,33.7076473236084,3888494.463634633,32886.124284682046,1317.5530562773256,182.87156805382529,0.0020573515212163,1108513879228416.0,"{""combine"": 52.48328601708488, ""dispatch"": 15.811281291767957, ""expert_compute"": 8.412515752189728, ""pack"": 4.240853994571585, ""return"": 19.052062944385852}",89.95223272380157,,,,,,,,,,0.0,39.7591729999931,4148313600.0,4544528384.0,33.55000534057617,33.87818660736084,0.3388665062975067,1.0050593647819792,,global,1.0,G2,3.598089308952063,89.95223272380157,"G2: A100-40GB, 16384 tok, 64 experts, top7_plus_1_shared"
77909492e5bdace11c6c,distributed_moe,B200,2,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[3.199488043785095, 4.651727914810181]",3.199488043785095,4.651727914810181,3.925607979297638,4000.0,3.122688055038452,4.687880039215088,fresh Modal container replicate,3.925607979297638,4321475.65801889,7068.977228949192,157.0883828655376,366.17739271436926,0.0004792001927853,26800595927040.0,"{""combine"": 31.700335082804795, ""dispatch"": 16.343892589290334, ""expert_compute"": 28.1615086931885, ""pack"": 4.696048730802347, ""return"": 19.098214903914023}",100.0,,,,,,,,,,0.0,10.123028500458986,837459968.0,880803840.0,3.7526392281055454,4.104330343008042,3.530944741875916,1.0455273080381247,,global,1.0,G3,1.0,100.0,"G3: B200, 8192 tok, 1024 experts, top8"
4421f6a0b1d0f9b868b0,distributed_moe,B200,4,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[2.8471200466156006, 2.5252480506896973]",2.5252480506896973,2.8471200466156006,2.686184048652649,4000.0,2.5189599990844727,2.8714879751205444,fresh Modal container replicate,2.686184048652649,12242662.493693156,20026.2848244994,222.51427582777112,453.2402685923048,0.0003279033262515,53601191854080.0,"{""combine"": 39.774184923523336, ""dispatch"": 16.50682417426591, ""expert_compute"": 20.94243091511906, ""pack"": 3.8511703018620276, ""return"": 18.925389685229668}",141.64909700435066,,,,,,,,,,0.0,391.5821525006322,834200320.0,918552576.0,2.651288855075836,2.719898372888565,0.9486095614713685,1.01255101051353,,global,1.0,G3,2.8329819400870133,141.64909700435066,"G3: B200, 8192 tok, 1024 experts, top8"
4fa591c1e052647ee448,distributed_moe,B200,8,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[2.5609599351882935, 2.5567840337753296]",2.5567840337753296,2.560959935188293,2.5588719844818115,4000.0,2.5535359382629395,2.7450159788131714,fresh Modal container replicate,2.5588719844818115,25611302.17974793,41894.41899931294,232.74677221840523,467.733923369976,0.0003123623027931,107202383708160.0,"{""combine"": 42.320417206885345, ""dispatch"": 16.983440325960608, ""expert_compute"": 17.648328058379082, ""pack"": 3.636550102044681, ""return"": 19.41126430673028}",148.1629436707797,,,,,,,,,,0.0,9.304298524511978,839138816.0,888143872.0,2.546565526723862,3.110402381420135,8.687012017063648,1.2155365333955979,,global,1.0,G3,5.926517746831187,148.16294367077967,"G3: B200, 8192 tok, 1024 experts, top8"
23d222c4c13e2e63d632,distributed_moe,B200,2,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[10.575664043426514, 10.553999900817871]",10.553999900817873,10.575664043426514,10.564831972122192,4000.0,10.537117338180542,10.60916018486023,fresh Modal container replicate,10.564831972122192,3101614.349685244,26231.25117981041,582.9166928846759,621.5286232151605,0.0006448261701734,277128469807104.0,"{""combine"": 53.014918276613216, ""dispatch"": 14.9601640032561, ""expert_compute"": 11.044501261925975, ""pack"": 4.0253962551547495, ""return"": 16.955020203049962}",100.0,,,,,,,,,,0.0,25.671403001979343,4087626752.0,4680843264.0,10.517618465423585,10.78799045085907,1.1329308925465174,1.0211227664884528,,global,1.0,G4,1.0,100.0,"G4: B200, 16384 tok, 64 experts, top7_plus_1_shared"
6e1d5f2bc5a2f8efecd6,distributed_moe,B200,4,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[10.597360134124756, 11.146495819091797]",10.597360134124756,11.146495819091797,10.871927976608276,4000.0,10.59565594792366,11.183391219377516,fresh Modal container replicate,10.871927976608276,6031848.7982508205,51013.09288229581,566.8121431366201,579.8305688609521,0.000663569822791,554256939614208.0,"{""combine"": 53.04770145665705, ""dispatch"": 15.662059956730745, ""expert_compute"": 9.551106043959035, ""pack"": 3.912441014304256, ""return"": 17.826691528348917}",97.23724677220012,,,,,,,,,,0.0,192.23647649050687,4148891648.0,4741660672.0,10.830231976509094,10.964627981185913,0.45330965504124865,1.0085265469728173,,global,1.0,G4,1.9447449354440023,97.23724677220011,"G4: B200, 16384 tok, 64 experts, top7_plus_1_shared"
afbf2e9e016df4b04e7f,distributed_moe,B200,8,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[10.598911762237549, 10.692384243011475]",10.598911762237549,10.692384243011476,10.645648002624512,4000.0,10.587888073921205,10.709792137145996,fresh Modal container replicate,10.645648002624512,12312498.614324825,104130.36805694355,578.5020447607976,574.2540622590204,0.0006497587892226,1108513879228416.0,"{""combine"": 53.43906324007061, ""dispatch"": 16.077349978659797, ""expert_compute"": 8.090508535460687, ""pack"": 3.3564793757846343, ""return"": 19.03659887002427}",99.24266225727187,,,,,,,,,,0.0,21.653510979376733,4146064896.0,4788846592.0,10.57818591594696,10.975441455841064,1.6262960543750822,1.0309791807070126,,global,1.0,G4,3.9697064902908754,99.24266225727189,"G4: B200, 16384 tok, 64 experts, top7_plus_1_shared"
9b38822ef3d676ea948b,distributed_moe,H100,2,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[3.18340802192688, 3.272239923477173]",3.18340802192688,3.272239923477173,3.2278239727020264,4000.0,3.176263988018036,3.279512047767639,fresh Modal container replicate,3.2278239727020264,5076826.675186835,8304.56422810671,419.6343723146392,398.0476157989208,0.0003940214810427,26800595927040.0,"{""combine"": 35.059586603558486, ""dispatch"": 15.885950086478296, ""expert_compute"": 24.22689486283415, ""pack"": 5.127123476248021, ""return"": 19.700444970881048}",100.0,,,,,,,,,,0.0,168.22412550038734,882803200.0,960495616.0,3.189754450321198,3.5108632206916806,4.879625968329669,1.087687324458626,,global,1.0,G5,1.0,100.0,"G5: H100, 8192 tok, 1024 experts, top8"
1b69e286e23df9653446,distributed_moe,H100,4,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[3.3621280193328857, 3.697440028190613]",3.3621280193328857,3.697440028190613,3.5297840237617493,4000.0,3.342192053794861,3.708279967308045,fresh Modal container replicate,3.5297840237617493,9304278.116543587,15219.73865931918,384.5310424284785,321.4345088942855,0.0004308818388381,53601191854080.0,"{""combine"": 32.61027689957353, ""dispatch"": 17.83168527685251, ""expert_compute"": 22.66373911011935, ""pack"": 4.964468400675646, ""return"": 21.929830312778968}",91.63478203834067,,,,,,,,,,0.0,169.6286459894054,882345984.0,964689920.0,3.4538320064544683,3.6276767253875732,1.8695629664724756,1.0277333403309752,,global,1.0,G5,1.8326956407668133,91.63478203834067,"G5: H100, 8192 tok, 1024 experts, top8"
694052c2cd500d086ed0,distributed_moe,H100,8,baseline,end_to_end,expert_all_to_all,False,training,8192.0,1024.0,top8,8.0,0.0,8.0,hot80_20,1.0,2048.0,5504.0,2,2,"[""succeeded""]",2.0,"[3.587599992752075, 3.641663908958435]",3.587599992752075,3.641663908958435,3.614631950855255,4000.0,3.5805280208587646,3.646344664692879,fresh Modal container replicate,3.614631950855255,18131767.320397697,29659.55623761521,374.678578039606,281.3003052304149,0.0004412392518133,107202383708160.0,"{""combine"": 31.46551534728784, ""dispatch"": 19.861665561937905, ""expert_compute"": 20.16722377680108, ""pack"": 4.703718216359929, ""return"": 23.801877097613243}",89.2869132652161,,,,,,,,,,0.0,10.458329999949001,883646720.0,981467136.0,3.588634431362152,3.902407222986221,4.294383605057508,1.0796139900392556,,global,1.0,G5,3.5714765306086442,89.2869132652161,"G5: H100, 8192 tok, 1024 experts, top8"
53464d9caaca85898ed1,distributed_moe,H100,2,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[13.55467176437378, 13.858112335205078]",13.55467176437378,13.858112335205078,13.706392049789429,4000.0,13.551656007766724,13.877507150173187,fresh Modal container replicate,13.706392049789429,2391002.3456780426,20221.399577726814,1021.7988669897328,540.5645169034891,0.0008365717803826,277128469807104.0,"{""combine"": 51.40714175959595, ""dispatch"": 14.666649972886633, ""expert_compute"": 12.027121743436368, ""pack"": 4.987668531231949, ""return"": 16.9114179928491}",100.0,,,,,,,,,,0.0,22.617154521867633,4140009216.0,4693426176.0,13.650523257255553,13.778505086898804,0.3452627532515231,1.0052612705697765,,global,1.0,G6,1.0,100.0,"G6: H100, 16384 tok, 64 experts, top7_plus_1_shared"
f95e9ec1d4639e30988e,distributed_moe,H100,4,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[14.885632038116455, 15.059776306152344]",14.885632038116457,15.059776306152344,14.9727041721344,4000.0,14.876751899719238,15.070775985717772,fresh Modal container replicate,14.9727041721344,4377179.677686669,37019.07672570981,935.2975423372868,396.2872820611786,0.0009138613386312,554256939614208.0,"{""combine"": 46.47193257290941, ""dispatch"": 17.785326449588275, ""expert_compute"": 10.629258030641083, ""pack"": 4.777489530677131, ""return"": 20.335993416184106}",91.53440785197942,,,,,,,,,,0.0,20.57255700128735,4191021824.0,4853858304.0,14.922881627082827,15.513435459136963,2.0113232841942232,1.0361144707586565,,global,1.0,G6,1.8306881570395885,91.53440785197942,"G6: H100, 16384 tok, 64 experts, top7_plus_1_shared"
86bc140b263ea026e7b8,distributed_moe,H100,8,baseline,end_to_end,expert_all_to_all,False,training,16384.0,64.0,top7_plus_1_shared,7.0,1.0,7.0,hot80_20,1.25,4096.0,14336.0,2,2,"[""succeeded""]",2.0,"[15.920239925384521, 16.110960006713867]",15.92023992538452,16.110960006713867,16.015599966049194,4000.0,15.902143955230711,16.126272201538086,fresh Modal container replicate,16.015599966049194,8184310.751269389,69217.08724747057,874.3947353141809,319.0808166224857,0.0009775146463653,1108513879228416.0,"{""combine"": 43.03081642080707, ""dispatch"": 20.149551662910483, ""expert_compute"": 9.765605334720824, ""pack"": 4.66363771788816, ""return"": 22.390388863673458}",85.57405606547486,,,,,,,,,,0.0,25.102703000001725,4201067776.0,4812963840.0,15.936848640441896,16.09486513137817,0.36770051216758093,1.0049492473274186,,global,1.0,G6,3.4229622426189943,85.57405606547486,"G6: H100, 16384 tok, 64 experts, top7_plus_1_shared"
